Nome,parametro,valor
colider,Kt-4,0.0636079845050948
colider,Kt-5,0.041475622938694
colider,Kt-6,0.0249454753124055
colider,Kt-7,0.0133778634284998
colider,Kt-8,0.00600665593140211
colider,Kt-9,0.00196772913442065
colider,Kt-10,0.000311662855019255
colider,Kt-11,5.99060685884976e-07
colider,Kt-12,0
colider,Kt-13,0
colider,Kt-14,0
colider,Kt-15,0
colider,Kt-16,0
colider,Kt-17,0
colider,Kt-18,0
colider,Kt-19,0
colider,Kt-20,0
colider,Kt-21,0
colider,Kt-22,0
colider,Kt-23,0
colider,Kt-24,0
colider,Kt-25,0
colider,Kt-26,0
colider,Kt-27,0
colider,Kt-28,0
colider,Kt-29,0
colider,Kt-30,0
colider,Kt-31,0
colider,Kt-32,0
colider,Kt-33,0
colider,Kt-34,0
colider,Kt-35,0
colider,Kt-36,0
colider,Kt-37,0
colider,Kt-38,0
colider,Kt-39,0
colider,Kt-40,0
colider,Kt-41,0
colider,Kt-42,0
colider,Kt-43,0
colider,Kt-44,0
colider,Kt-45,0
colider,Kt-46,0
colider,Kt-47,0
colider,Kt-48,0
colider,Kt-49,0
colider,Kt-50,0
colider,Kt-51,0
colider,Kt-52,0
colider,Kt-53,0
colider,Kt-54,0
colider,Kt-55,0
colider,Kt-56,0
colider,Kt-57,0
colider,Kt-58,0
colider,Kt-59,0
colider,Kt-60,0
colider,Str,52.7952821185182
colider,K2t,43.1126287571796
colider,Crec,14.7721509451375
colider,Ai,0.0121379214438525
colider,Capc,29.5542259870285
colider,K_kt,502.042263305966
colider,K2t2,10
colider,H1,200
colider,H,116.896439526492
colider,K3t,23.770050451866
colider,K1t,1.86334033657584
colider,Ecof,1.09677733753311
colider,Pcof,1
colider,Ecof2,0.289825320510162
colider,ktMin,11
colider,ktMax,1
dfranc,Area,5087
dfranc,nKt,6
dfranc,Kt2,0.14916578429395
dfranc,Kt1,0.629783686017453
dfranc,Kt0,0.210097316787985
dfranc,Kt-1,0.0109245417715612
dfranc,Kt-2,2.86711287612241e-05
dfranc,Kt-3,2.88947680363806e-13
dfranc,Kt-4,0
dfranc,Kt-5,0
dfranc,Kt-6,0
dfranc,Kt-7,0
dfranc,Kt-8,0
dfranc,Kt-9,0
dfranc,Kt-10,0
dfranc,Kt-11,0
dfranc,Kt-12,0
dfranc,Kt-13,0
dfranc,Kt-14,0
dfranc,Kt-15,0
dfranc,Kt-16,0
dfranc,Kt-17,0
dfranc,Kt-18,0
dfranc,Kt-19,0
dfranc,Kt-20,0
dfranc,Kt-21,0
dfranc,Kt-22,0
dfranc,Kt-23,0
dfranc,Kt-24,0
dfranc,Kt-25,0
dfranc,Kt-26,0
dfranc,Kt-27,0
dfranc,Kt-28,0
dfranc,Kt-29,0
dfranc,Kt-30,0
dfranc,Kt-31,0
dfranc,Kt-32,0
dfranc,Kt-33,0
dfranc,Kt-34,0
dfranc,Kt-35,0
dfranc,Kt-36,0
dfranc,Kt-37,0
dfranc,Kt-38,0
dfranc,Kt-39,0
dfranc,Kt-40,0
dfranc,Kt-41,0
dfranc,Kt-42,0
dfranc,Kt-43,0
dfranc,Kt-44,0
dfranc,Kt-45,0
dfranc,Kt-46,0
dfranc,Kt-47,0
dfranc,Kt-48,0
dfranc,Kt-49,0
dfranc,Kt-50,0
dfranc,Kt-51,0
dfranc,Kt-52,0
dfranc,Kt-53,0
dfranc,Kt-54,0
dfranc,Kt-55,0
dfranc,Kt-56,0
dfranc,Kt-57,0
dfranc,Kt-58,0
dfranc,Kt-59,0
dfranc,Kt-60,0
dfranc,Str,198.348105052925
dfranc,K2t,1.63153972232238
dfranc,Crec,0.808119916904342
dfranc,Ai,2.11468688206203
dfranc,Capc,20.8963375928198
dfranc,K_kt,29.512219799537
dfranc,K2t2,10
dfranc,H1,200
dfranc,H,200
dfranc,K3t,10
dfranc,K1t,10
dfranc,Ecof,1.34804320071164
dfranc,Pcof,1
dfranc,Ecof2,0
dfranc,ktMin,3
dfranc,ktMax,2
irape,Area,15880
irape,nKt,6
irape,Kt2,0.251335907193113
irape,Kt1,0.215084968422582
irape,Kt0,0.186550222491652
irape,Kt-1,0.157761378169838
irape,Kt-2,0.123494902083865
irape,Kt-3,0.065772621638951
irape,Kt-4,0
irape,Kt-5,0
irape,Kt-6,0
irape,Kt-7,0
irape,Kt-8,0
irape,Kt-9,0
irape,Kt-10,0
irape,Kt-11,0
irape,Kt-12,0
irape,Kt-13,0
irape,Kt-14,0
irape,Kt-15,0
irape,Kt-16,0
irape,Kt-17,0
irape,Kt-18,0
irape,Kt-19,0
irape,Kt-20,0
irape,Kt-21,0
irape,Kt-22,0
irape,Kt-23,0
irape,Kt-24,0
irape,Kt-25,0
irape,Kt-26,0
irape,Kt-27,0
irape,Kt-28,0
irape,Kt-29,0
irape,Kt-30,0
irape,Kt-31,0
irape,Kt-32,0
irape,Kt-33,0
irape,Kt-34,0
irape,Kt-35,0
irape,Kt-36,0
irape,Kt-37,0
irape,Kt-38,0
irape,Kt-39,0
irape,Kt-40,0
irape,Kt-41,0
irape,Kt-42,0
irape,Kt-43,0
irape,Kt-44,0
irape,Kt-45,0
irape,Kt-46,0
irape,Kt-47,0
irape,Kt-48,0
irape,Kt-49,0
irape,Kt-50,0
irape,Kt-51,0
irape,Kt-52,0
irape,Kt-53,0
irape,Kt-54,0
irape,Kt-55,0
irape,Kt-56,0
irape,Kt-57,0
irape,Kt-58,0
irape,Kt-59,0
irape,Kt-60,0
irape,Str,94.6213863026372
irape,K2t,3.58668976559748
irape,Crec,1.46991722014745
irape,Ai,1.11710683151376
irape,Capc,12.7678270639928
irape,K_kt,82.0389609991792
irape,K2t2,10
irape,H1,200
irape,H,3.69907485416393
irape,K3t,522.908049747851
irape,K1t,2.10094653730139
irape,Ecof,1.23056493669621
irape,Pcof,1
irape,Ecof2,0.610770620713638
irape,ktMin,3
irape,ktMax,2
ita,Area,12185
ita,nKt,6
ita,Kt2,0.0379090773301122
ita,Kt1,0.433570652648058
ita,Kt0,0.433140861417235
ita,Kt-1,0.0931731521031413
ita,Kt-2,0.00220624838526872
ita,Kt-3,8.11618513142203e-09
ita,Kt-4,0
ita,Kt-5,0
ita,Kt-6,0
ita,Kt-7,0
ita,Kt-8,0
ita,Kt-9,0
ita,Kt-10,0
ita,Kt-11,0
ita,Kt-12,0
ita,Kt-13,0
ita,Kt-14,0
ita,Kt-15,0
ita,Kt-16,0
ita,Kt-17,0
ita,Kt-18,0
ita,Kt-19,0
ita,Kt-20,0
ita,Kt-21,0
ita,Kt-22,0
ita,Kt-23,0
ita,Kt-24,0
ita,Kt-25,0
ita,Kt-26,0
ita,Kt-27,0
ita,Kt-28,0
ita,Kt-29,0
ita,Kt-30,0
ita,Kt-31,0
ita,Kt-32,0
ita,Kt-33,0
ita,Kt-34,0
ita,Kt-35,0
ita,Kt-36,0
ita,Kt-37,0
ita,Kt-38,0
ita,Kt-39,0
ita,Kt-40,0
ita,Kt-41,0
ita,Kt-42,0
ita,Kt-43,0
ita,Kt-44,0
ita,Kt-45,0
ita,Kt-46,0
ita,Kt-47,0
ita,Kt-48,0
ita,Kt-49,0
ita,Kt-50,0
ita,Kt-51,0
ita,Kt-52,0
ita,Kt-53,0
ita,Kt-54,0
ita,Kt-55,0
ita,Kt-56,0
ita,Kt-57,0
ita,Kt-58,0
ita,Kt-59,0
ita,Kt-60,0
ita,Str,208.331410160242
ita,K2t,3.07363728674392
ita,Crec,0.530714895647522
ita,Ai,0.961965971002872
ita,Capc,32.9774614617531
ita,K_kt,14.9758735409127
ita,K2t2,1.49477774264172
ita,H1,20.7142857446213
ita,H,200
ita,K3t,10
ita,K1t,10
ita,Ecof,1.01274657931731
ita,Pcof,0.91436867106368
ita,Ecof2,0
ita,ktMin,3
ita,ktMax,2
manso,Area,9347
manso,nKt,3
manso,Kt2,0.722299260992772
manso,Kt1,0.23581015614338
manso,Kt0,0.0390938906574207
manso,Kt-1,0.00276250133917808
manso,Kt-2,3.41907117291302e-05
manso,Kt-3,1.55520136977173e-10
manso,Kt-4,0
manso,Kt-5,0
manso,Kt-6,0
manso,Kt-7,0
manso,Kt-8,0
manso,Kt-9,0
manso,Kt-10,0
manso,Kt-11,0
manso,Kt-12,0
manso,Kt-13,0
manso,Kt-14,0
manso,Kt-15,0
manso,Kt-16,0
manso,Kt-17,0
manso,Kt-18,0
manso,Kt-19,0
manso,Kt-20,0
manso,Kt-21,0
manso,Kt-22,0
manso,Kt-23,0
manso,Kt-24,0
manso,Kt-25,0
manso,Kt-26,0
manso,Kt-27,0
manso,Kt-28,0
manso,Kt-29,0
manso,Kt-30,0
manso,Kt-31,0
manso,Kt-32,0
manso,Kt-33,0
manso,Kt-34,0
manso,Kt-35,0
manso,Kt-36,0
manso,Kt-37,0
manso,Kt-38,0
manso,Kt-39,0
manso,Kt-40,0
manso,Kt-41,0
manso,Kt-42,0
manso,Kt-43,0
manso,Kt-44,0
manso,Kt-45,0
manso,Kt-46,0
manso,Kt-47,0
manso,Kt-48,0
manso,Kt-49,0
manso,Kt-50,0
manso,Kt-51,0
manso,Kt-52,0
manso,Kt-53,0
manso,Kt-54,0
manso,Kt-55,0
manso,Kt-56,0
manso,Kt-57,0
manso,Kt-58,0
manso,Kt-59,0
manso,Kt-60,0
manso,Str,120.657735020102
manso,K2t,7.0586128010292
manso,Crec,90.0761992849694
manso,Ai,0
manso,Capc,88.8838416424074
manso,K_kt,326.0139838165
manso,K2t2,10
manso,H1,200
manso,H,200
manso,K3t,10
manso,K1t,10
manso,Ecof,0.565587384586551
manso,Pcof,0.651923433323671
manso,Ecof2,0
manso,ktMin,3
manso,ktMax,2
navanhanda,Area,17804
navanhanda,nKt,6
navanhanda,Kt2,0.429752653900922
navanhanda,Kt1,0.461844327566066
navanhanda,Kt0,0.102479226632176
navanhanda,Kt-1,0.00589222693644296
navanhanda,Kt-2,3.15649584584972e-05
navanhanda,Kt-3,5.93443601126018e-12
navanhanda,Kt-4,0
navanhanda,Kt-5,0
navanhanda,Kt-6,0
navanhanda,Kt-7,0
navanhanda,Kt-8,0
navanhanda,Kt-9,0
navanhanda,Kt-10,0
